country,horizon,naive_mae,naive_rmse,seasonal_naive_mae,seasonal_naive_rmse,mae,rmse,smape,improve_vs_naive,improve_vs_seasonal,beat_naive,beat_seasonal
bangkok,1_week,0.258,0.2759,0.1524,0.1932,0.1089,0.1153,21.5,57.79069767441861,28.543307086614178,True,True
bangkok,1_month,0.182,0.2108,0.1092,0.1317,0.1108,0.1317,18.83,39.120879120879124,-1.4652014652014562,True,False
canberra,1_week,0.0235,0.0272,0.0296,0.0361,0.1942,0.1955,58.47,-726.3829787234043,-556.0810810810812,False,False
canberra,1_month,0.0638,0.0764,0.0711,0.0912,0.0973,0.1304,28.89,-52.507836990595614,-36.849507735583686,False,False
hongkong,1_week,0.1559,0.1883,0.0966,0.1198,0.113,0.1454,16.73,27.51763951250802,-16.977225672877843,True,False
hongkong,1_month,0.1902,0.2215,0.2595,0.3033,0.221,0.2552,35.27,-16.193480546792845,14.836223506743739,False,True
london,1_week,0.1053,0.1411,0.1837,0.2017,0.1372,0.1842,38.51,-30.29439696106361,25.31301034295047,False,True
london,1_month,0.1424,0.1696,0.1535,0.1812,0.1951,0.222,45.12,-37.008426966292134,-27.10097719869707,False,False
philadelphia,1_week,0.1637,0.2013,0.1592,0.2166,0.0933,0.1295,21.42,43.00549786194259,41.39447236180905,True,True
philadelphia,1_month,0.1189,0.1586,0.1338,0.1971,0.1874,0.225,50.56,-57.61143818334735,-40.059790732436475,False,False
