country,horizon,naive_mae,naive_rmse,seasonal_naive_mae,seasonal_naive_rmse,mae,rmse,smape,improve_vs_naive,improve_vs_seasonal,beat_naive,beat_seasonal
bangkok,1_week,0.0082,0.0085,0.0054,0.0072,0.0046,0.0071,17.3,43.90243902439025,14.81481481481482,True,True
bangkok,1_month,0.0063,0.0073,0.0083,0.0101,0.0079,0.0096,26.49,-25.396825396825406,4.8192771084337265,False,True
canberra,1_week,0.0015,0.0024,0.0013,0.0023,0.0015,0.0023,189.87,0.0,-15.38461538461539,False,False
canberra,1_month,0.0007,0.0018,0.0014,0.0024,0.0009,0.0017,183.28,-28.57142857142857,35.714285714285715,False,True
hongkong,1_week,0.0055,0.0084,0.0132,0.0149,0.0079,0.0089,19.04,-43.636363636363654,40.15151515151514,False,True
hongkong,1_month,0.0112,0.0159,0.0103,0.0141,0.0107,0.0139,23.76,4.464285714285719,-3.8834951456310614,True,False
london,1_week,0.0051,0.0065,0.0124,0.0136,0.0051,0.0062,34.45,0.0,58.87096774193547,False,True
london,1_month,0.0052,0.0067,0.0092,0.0111,0.0048,0.0057,28.67,7.692307692307695,47.82608695652174,True,True
philadelphia,1_week,0.0069,0.0085,0.0084,0.0102,0.0051,0.0063,33.68,26.086956521739125,39.28571428571428,True,True
philadelphia,1_month,0.0067,0.0078,0.0074,0.0091,0.0042,0.0053,29.19,37.313432835820905,43.24324324324325,True,True
