country,horizon,naive_mae,naive_rmse,seasonal_naive_mae,seasonal_naive_rmse,mae,rmse,smape,improve_vs_naive,improve_vs_seasonal,beat_naive,beat_seasonal
bangkok,1_week,0.0161,0.0168,0.0074,0.0078,0.0044,0.0058,14.6,72.67080745341615,40.54054054054054,True,True
bangkok,1_month,0.0115,0.0128,0.007,0.0089,0.0083,0.0104,25.08,27.82608695652174,-18.57142857142857,True,False
canberra,1_week,0.0048,0.0052,0.004,0.0048,0.0048,0.0053,20.5,0.0,-19.999999999999986,False,False
canberra,1_month,0.0056,0.0071,0.0074,0.009,0.006,0.0075,23.48,-7.142857142857147,18.91891891891892,False,True
hongkong,1_week,0.01,0.0111,0.006,0.0072,0.0045,0.0052,25.69,55.00000000000001,25.000000000000007,True,True
hongkong,1_month,0.011,0.0129,0.0093,0.0111,0.0069,0.0084,41.42,37.272727272727266,25.80645161290322,True,True
london,1_week,0.0054,0.0067,0.0133,0.0165,0.0051,0.0064,34.33,5.555555555555554,61.65413533834586,True,True
london,1_month,0.0071,0.0086,0.0081,0.0099,0.0053,0.0065,34.58,25.352112676056343,34.5679012345679,True,True
philadelphia,1_week,0.0084,0.0111,0.0106,0.0132,0.007,0.0086,40.76,16.66666666666666,33.9622641509434,True,True
philadelphia,1_month,0.0081,0.0101,0.0099,0.012,0.0056,0.0077,32.0,30.864197530864196,43.43434343434344,True,True
